model,url,num_classes,input_size,pool_size,crop_pct,interpolation,mean,std,first_conv,classifier,has_aux,label_offset,architecture,min_input_size,fixed_input_size,test_input_size,hf_hub
efficientnet_b3_pruned,https://imvl-automl-sh.oss-cn-shanghai.aliyuncs.com/darts/hyperml/hyperml/job_45403/outputs/effnetb3_pruned_5abcc29f.pth,1000,"(3, 300, 300)","(10, 10)",0.904,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv_stem,classifier,,,efficientnet_b3_pruned,,,,
efficientnet_b3a,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b3_ra2-cf984f9c.pth,1000,"(3, 288, 288)","(9, 9)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b3,,,"(3, 320, 320)",
efficientnet_b4,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_b4_ra2_320-7eb33cd5.pth,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b4,,,"(3, 384, 384)",
efficientnet_b5,,1000,"(3, 456, 456)","(15, 15)",0.934,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b5,,,,
efficientnet_b6,,1000,"(3, 528, 528)","(17, 17)",0.942,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b6,,,,
efficientnet_b7,,1000,"(3, 600, 600)","(19, 19)",0.949,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b7,,,,
efficientnet_b8,,1000,"(3, 672, 672)","(21, 21)",0.954,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_b8,,,,
efficientnet_cc_b0_4e,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_cc_b0_4e,,,,
efficientnet_cc_b0_8e,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_cc_b0_8e,,,,
efficientnet_cc_b1_8e,,1000,"(3, 240, 240)","(8, 8)",0.882,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_cc_b1_8e,,,,
efficientnet_el,https://github.com/DeGirum/pruned-models/releases/download/efficientnet_v1.0/efficientnet_el.pth,1000,"(3, 300, 300)","(10, 10)",0.904,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_el,,,,
efficientnet_el_pruned,https://github.com/DeGirum/pruned-models/releases/download/efficientnet_v1.0/efficientnet_el_pruned70.pth,1000,"(3, 300, 300)","(10, 10)",0.904,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_el_pruned,,,,
efficientnet_em,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_em_ra2-66250f76.pth,1000,"(3, 240, 240)","(8, 8)",0.882,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_em,,,,
efficientnet_es,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_es_ra-f111e99c.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_es,,,,
efficientnet_es_pruned,https://github.com/DeGirum/pruned-models/releases/download/efficientnet_v1.0/efficientnet_es_pruned75.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_es_pruned,,,,
efficientnet_l2,,1000,"(3, 800, 800)","(25, 25)",0.961,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_l2,,,,
efficientnet_lite0,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_lite0_ra-37913777.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_lite0,,,,
efficientnet_lite1,,1000,"(3, 240, 240)","(8, 8)",0.882,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_lite1,,,,
efficientnet_lite2,,1000,"(3, 260, 260)","(9, 9)",0.89,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_lite2,,,,
efficientnet_lite3,,1000,"(3, 300, 300)","(10, 10)",0.904,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_lite3,,,,
efficientnet_lite4,,1000,"(3, 380, 380)","(12, 12)",0.922,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnet_lite4,,,,
efficientnetv2_l,,1000,"(3, 384, 384)","(12, 12)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnetv2_l,,,"(3, 480, 480)",
efficientnetv2_m,,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnetv2_m,,,"(3, 416, 416)",
efficientnetv2_rw_m,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnetv2_rw_m_agc-3d90cb1e.pth,1000,"(3, 320, 320)","(10, 10)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnetv2_rw_m,,,"(3, 416, 416)",
efficientnetv2_rw_s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/efficientnet_v2s_ra2_288-a6477665.pth,1000,"(3, 288, 288)","(9, 9)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnetv2_rw_s,,,"(3, 384, 384)",
efficientnetv2_s,,1000,"(3, 288, 288)","(9, 9)",1.0,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,efficientnetv2_s,,,"(3, 384, 384)",
ens_adv_inception_resnet_v2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ens_adv_inception_resnet_v2-2592a550.pth,1000,"(3, 299, 299)","(8, 8)",0.8975,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv2d_1a.conv,classif,,1.0,ens_adv_inception_resnet_v2,,,,
ese_vovnet19b_dw,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ese_vovnet19b_dw-a8741004.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet19b_dw,,,,
ese_vovnet19b_slim,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet19b_slim,,,,
ese_vovnet19b_slim_dw,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet19b_slim_dw,,,,
ese_vovnet39b,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/ese_vovnet39b-f912fe73.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet39b,,,,
ese_vovnet39b_evos,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet39b_evos,,,,
ese_vovnet57b,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet57b,,,,
ese_vovnet99b,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet99b,,,,
ese_vovnet99b_iabn,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.0.conv,head.fc,,,ese_vovnet99b_iabn,,,,
fbnetc_100,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/fbnetc_100-c345b898.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,fbnetc_100,,,,
fbnetv3_b,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,fbnetv3_b,,,,
fbnetv3_d,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,fbnetv3_d,,,,
fbnetv3_g,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,fbnetv3_g,,,,
gc_efficientnet_b0,,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,gc_efficientnet_b0,,,,
gcresnet50t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,gcresnet50t,,,,
gcresnext26ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,gcresnext26ts,,,,
geresnet50t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,geresnet50t,,,,
gernet_l,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-ger-weights/gernet_l-f31e2e8d.pth,1000,"(3, 256, 256)","(8, 8)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,gernet_l,,,,
gernet_m,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-ger-weights/gernet_m-0873c53a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,gernet_m,,,,
gernet_s,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-ger-weights/gernet_s-756b4751.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv,head.fc,,,gernet_s,,,,
ghostnet_050,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,ghostnet_050,,,,
ghostnet_100,https://github.com/huawei-noah/CV-backbones/releases/download/ghostnet_pth/ghostnet_1x.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,ghostnet_100,,,,
ghostnet_130,,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,ghostnet_130,,,,
gluon_inception_v3,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gluon_inception_v3-9f746940.pth,1000,"(3, 299, 299)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",Conv2d_1a_3x3.conv,fc,False,,gluon_inception_v3,,,,
gluon_resnet18_v1b,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet18_v1b-0757602b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnet18_v1b,,,,
gluon_resnet34_v1b,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet34_v1b-c6d82d59.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnet34_v1b,,,,
gluon_resnet50_v1b,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet50_v1b-0ebe02e2.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnet50_v1b,,,,
gluon_resnet50_v1c,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet50_v1c-48092f55.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet50_v1c,,,,
gluon_resnet50_v1d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet50_v1d-818a1b1b.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet50_v1d,,,,
gluon_resnet50_v1s,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet50_v1s-1762acc0.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet50_v1s,,,,
gluon_resnet101_v1b,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet101_v1b-3b017079.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnet101_v1b,,,,
gluon_resnet101_v1c,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet101_v1c-1f26822a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet101_v1c,,,,
gluon_resnet101_v1d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet101_v1d-0f9c8644.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet101_v1d,,,,
gluon_resnet101_v1s,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet101_v1s-60fe0cc1.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet101_v1s,,,,
gluon_resnet152_v1b,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet152_v1b-c1edb0dd.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnet152_v1b,,,,
gluon_resnet152_v1c,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet152_v1c-a3bb0b98.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet152_v1c,,,,
gluon_resnet152_v1d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet152_v1d-bd354e12.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet152_v1d,,,,
gluon_resnet152_v1s,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnet152_v1s-dcc41b81.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_resnet152_v1s,,,,
gluon_resnext50_32x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnext50_32x4d-e6a097c1.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnext50_32x4d,,,,
gluon_resnext101_32x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnext101_32x4d-b253c8c4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnext101_32x4d,,,,
gluon_resnext101_64x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_resnext101_64x4d-f9a8e184.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_resnext101_64x4d,,,,
gluon_senet154,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_senet154-70a1a3c0.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1.0,fc,,,gluon_senet154,,,,
gluon_seresnext50_32x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_seresnext50_32x4d-90cf2d6e.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_seresnext50_32x4d,,,,
gluon_seresnext101_32x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_seresnext101_32x4d-cf52900d.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_seresnext101_32x4d,,,,
gluon_seresnext101_64x4d,https://github.com/rwightman/pytorch-pretrained-gluonresnet/releases/download/v0.1/gluon_seresnext101_64x4d-f9926f93.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_seresnext101_64x4d,,,,
gluon_xception65,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gluon_xception-7015a15c.pth,1000,"(3, 299, 299)","(10, 10)",0.903,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,gluon_xception65,,,,
gmixer_12_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,gmixer_12_224,,True,,
gmixer_24_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gmixer_24_224_raa-7daf7ae6.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.proj,head,,,gmixer_24_224,,True,,
gmlp_b16_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,gmlp_b16_224,,True,,
gmlp_s16_224,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/gmlp_s16_224_raa-10536d42.pth,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,gmlp_s16_224,,True,,
gmlp_ti16_224,,1000,"(3, 224, 224)",,0.875,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",stem.proj,head,,,gmlp_ti16_224,,True,,
halonet26t,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,halonet26t,"(3, 256, 256)",False,,
halonet50ts,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,halonet50ts,"(3, 256, 256)",False,,
halonet_h1,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,halonet_h1,"(3, 256, 256)",False,,
halonet_h1_c4c5,,1000,"(3, 256, 256)","(8, 8)",0.875,bicubic,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",stem.conv1.conv,head.fc,,,halonet_h1_c4c5,"(3, 256, 256)",False,,
hardcorenas_a,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_A_Green_38ms_75.9_23474aeb.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_a,,,,
hardcorenas_b,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_B_Green_40ms_76.5_1f882d1e.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_b,,,,
hardcorenas_c,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_C_Green_44ms_77.1_d4148c9e.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_c,,,,
hardcorenas_d,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_D_Green_50ms_77.4_23e3cdde.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_d,,,,
hardcorenas_e,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_E_Green_55ms_77.9_90f20e8a.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_e,,,,
hardcorenas_f,https://miil-public-eu.oss-eu-central-1.aliyuncs.com/public/HardCoReNAS/HardCoreNAS_F_Green_60ms_78.1_2855edf1.pth,1000,"(3, 224, 224)","(1, 1)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv_stem,classifier,,,hardcorenas_f,,,,
hrnet_w18,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w18-8cb57bb9.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w18,,,,
hrnet_w18_small,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnet_w18_small_v1-f460c6bc.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w18_small,,,,
hrnet_w18_small_v2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnet_w18_small_v2-4c50a8cb.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w18_small_v2,,,,
hrnet_w30,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w30-8d7f8dab.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w30,,,,
hrnet_w32,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w32-90d8c5fb.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w32,,,,
hrnet_w40,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w40-7cd397a4.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w40,,,,
hrnet_w44,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w44-c9ac8c18.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w44,,,,
hrnet_w48,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w48-abd2e6ab.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w48,,,,
hrnet_w64,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-hrnet/hrnetv2_w64-b47cc881.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,classifier,,,hrnet_w64,,,,
ig_resnext101_32x8d,https://download.pytorch.org/models/ig_resnext101_32x8-c38310e5.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,ig_resnext101_32x8d,,,,
ig_resnext101_32x16d,https://download.pytorch.org/models/ig_resnext101_32x16-c6f796b0.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,ig_resnext101_32x16d,,,,
ig_resnext101_32x32d,https://download.pytorch.org/models/ig_resnext101_32x32-e4b90b00.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,ig_resnext101_32x32d,,,,
ig_resnext101_32x48d,https://download.pytorch.org/models/ig_resnext101_32x48-3e41cc8a.pth,1000,"(3, 224, 224)","(7, 7)",0.875,bilinear,"(0.485, 0.456, 0.406)","(0.229, 0.224, 0.225)",conv1,fc,,,ig_resnext101_32x48d,,,,
inception_resnet_v2,https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-weights/inception_resnet_v2-940b1cd6.pth,1000,"(3, 299, 299)","(8, 8)",0.8975,bicubic,"(0.5, 0.5, 0.5)","(0.5, 0.5, 0.5)",conv2d_1a.conv,classif,,1.0,inception_resnet_v2,,,,
